Area code;Donor;Project Code;Session No;legal or protection;Oblast;Raion;Hromada;Location name;Date;Topic;Language;Facilitator;Settlement type;Gender;Age;Status;Delivered;Comments
CHJ - Chernihiv;ECHO;UKR-000269;6;Protection;Chernihivska;Chernihivskyi;Novobilouska;Selianska Sloboda;21.03.2023;Access to general services;ukrainian;Valeriia Yakubenko, Yurii Stankevych;Rural;Female;57;Conflict affected;YES;
CHJ - Chernihiv;ECHO;UKR-000269;6;Protection;Chernihivska;Chernihivskyi;Novobilouska;Selianska Sloboda;21.03.2023;Access to general services;ukrainian;Valeriia Yakubenko, Yurii Stankevych;Rural;Female;63;Conflict affected;YES;
CHJ - Chernihiv;ECHO;UKR-000269;6;Protection;Chernihivska;Chernihivskyi;Novobilouska;Selianska Sloboda;21.03.2023;Access to general services;ukrainian;Valeriia Yakubenko, Yurii Stankevych;Rural;Female;62;Conflict affected;YES;
CHJ - Chernihiv;ECHO;UKR-000269;6;Protection;Chernihivska;Chernihivskyi;Novobilouska;Selianska Sloboda;21.03.2023;Access to general services;ukrainian;Valeriia Yakubenko, Yurii Stankevych;Rural;Female;57;Conflict affected;YES;
CHJ - Chernihiv;ECHO;UKR-000269;7;Protection;Chernihivska;Prylutskyi;Ichnianska;"	Ichnia";23.03.2023;Access to general services;ukrainian;Valeriia Yakubenko, Yurii Stankevych;Urban;Female;20;IDP;YES;
CHJ - Chernihiv;ECHO;UKR-000269;7;Protection;Chernihivska;Prylutskyi;Ichnianska;"	Ichnia";23.03.2023;Access to general services;ukrainian;Valeriia Yakubenko, Yurii Stankevych;Urban;Female;38;IDP;YES;
CHJ - Chernihiv;ECHO;UKR-000269;7;Protection;Chernihivska;Prylutskyi;Ichnianska;"	Ichnia";23.03.2023;Access to general services;ukrainian;Valeriia Yakubenko, Yurii Stankevych;Urban;Female;29;IDP;YES;
CHJ - Chernihiv;ECHO;UKR-000269;7;Protection;Chernihivska;Prylutskyi;Ichnianska;"	Ichnia";23.03.2023;Access to general services;ukrainian;Valeriia Yakubenko, Yurii Stankevych;Urban;Female;32;IDP;YES;
CHJ - Chernihiv;ECHO;UKR-000269;7;Protection;Chernihivska;Prylutskyi;Ichnianska;"	Ichnia";23.03.2023;Access to general services;ukrainian;Valeriia Yakubenko, Yurii Stankevych;Urban;Female;51;IDP;YES;
CHJ - Chernihiv;ECHO;UKR-000269;7;Protection;Chernihivska;Prylutskyi;Ichnianska;"	Ichnia";23.03.2023;Access to general services;ukrainian;Valeriia Yakubenko, Yurii Stankevych;Urban;Male;33;IDP;YES;
CHJ - Chernihiv;ECHO;UKR-000269;7;Protection;Chernihivska;Prylutskyi;Ichnianska;"	Ichnia";23.03.2023;Access to general services;ukrainian;Valeriia Yakubenko, Yurii Stankevych;Urban;Female;34;IDP;YES;
CHJ - Chernihiv;ECHO;UKR-000269;7;Protection;Chernihivska;Prylutskyi;Ichnianska;"	Ichnia";23.03.2023;Access to general services;ukrainian;Valeriia Yakubenko, Yurii Stankevych;Urban;Female;33;IDP;YES;
