_ID;Project ;Payment Done;Amount
437908847;UKR-000298;Yes;19 980
437909351;UKR-000298;Yes;6 660
437909361;UKR-000270;Yes;13 320
437909367;UKR-000298;Yes;6 660
437909681;UKR-000298;Yes;6 660
437909736;UKR-000298;Yes;13 320
437910105;UKR-000298;Yes;13 320
437910162;UKR-000298;Yes;19 980
437910285;UKR-000270;Yes;19 980
437910436;UKR-000298;Yes;19 980
437910671;UKR-000298;Yes;26 640
437910776;UKR-000298;Yes;19 980
437910778;UKR-000270;Yes;13 320
437910864;UKR-000298;Yes;6 660
437911211;UKR-000298;Yes;6 660
437911296;UKR-000270;Yes;6 660
437911299;UKR-000298;Yes;6 660
437911561;UKR-000298;Yes;19 980
437911861;UKR-000270;Yes;26 640
437911889;UKR-000298;Yes;13 320
437911947;UKR-000298;Yes;13 320
437912087;UKR-000298;Yes;6 660
437912472;UKR-000298;Yes;19 980
437912592;UKR-000270;Yes;13 320
437912664;UKR-000298;Yes;6 660
437912735;UKR-000298;Yes;13 320
437913322;UKR-000298;Yes;19 980
437913549;UKR-000298;Yes;6 660
437913764;UKR-000298;Yes;19 980
437913924;UKR-000270;Yes;19 980
437915172;UKR-000270;Yes;26 640
437916541;UKR-000298;Yes;6 660
437916606;UKR-000270;Yes;13 320
437916609;UKR-000298;Yes;13 320
437916698;UKR-000298;Yes;19 980
437917148;UKR-000270;Yes;6 660
437917499;UKR-000298;Yes;19 980
437918141;UKR-000270;Yes;26 640
437918615;UKR-000270;Yes;6 660
437918707;UKR-000298;Yes;13 320
437919204;UKR-000270;Yes;6 660
437919569;UKR-000298;Yes;13 320
437920015;UKR-000270;Yes;26 640
437920253;UKR-000298;Yes;6 660
437920686;UKR-000298;Yes;6 660
437921314;UKR-000270;Yes;13 320
437921408;UKR-000298;Yes;26 640
437921628;UKR-000298;Yes;19 980
437921977;UKR-000298;Yes;19 980
437922112;;No;6 660
437922301;;No;26 640
437922338;UKR-000298;Yes;6 660
437922886;UKR-000270;Yes;26 640
437923433;UKR-000270;Yes;6 660
437923462;UKR-000270;Yes;13 320
437923500;UKR-000270;Yes;6 660
437923517;UKR-000298;Yes;26 640
437923532;UKR-000270;Yes;6 660
437923564;UKR-000270;Yes;6 660
437923583;UKR-000270;Yes;6 660
437923614;UKR-000270;Yes;19 980
437923638;UKR-000270;Yes;6 660
437923663;UKR-000270;Yes;26 640
437923668;UKR-000270;Yes;26 640
437923674;UKR-000270;Yes;6 660
437923680;UKR-000270;Yes;6 660
437923688;UKR-000270;Yes;6 660
437923697;UKR-000270;Yes;13 320
437923788;UKR-000298;Yes;6 660
437924122;UKR-000298;Yes;6 660
437924219;;No;6 660
437924360;UKR-000298;Yes;6 660
437924890;UKR-000270;Yes;26 640
437925000;UKR-000270;Yes;33 300
437925301;UKR-000298;Yes;19 980
437925970;UKR-000270;Yes;46 620
437926223;;No;13 320
437926430;UKR-000298;Yes;19 980
437926681;UKR-000298;Yes;26 640
437927067;UKR-000270;Yes;13 320
437927209;UKR-000298;Yes;19 980
437927312;UKR-000298;Yes;26 640
437927578;UKR-000270;Yes;6 660
437927879;UKR-000298;Yes;13 320
437928031;UKR-000298;Yes;26 640
437928260;UKR-000270;Yes;19 980
437928438;UKR-000298;Yes;6 660
437928805;UKR-000298;Yes;6 660
437929081;UKR-000298;Yes;19 980
437929467;UKR-000270;Yes;13 320
437929624;UKR-000270;Yes;19 980
437930812;UKR-000298;Yes;13 320
437931002;;No;33 300
437931096;UKR-000270;Yes;6 660
437931307;UKR-000270;Yes;6 660
437932302;;No;13 320
437932691;UKR-000298;Yes;13 320
437932741;UKR-000298;Yes;33 300
437933508;UKR-000298;Yes;26 640
437933862;UKR-000298;Yes;13 320
437934148;UKR-000270;Yes;13 320
437934310;UKR-000298;Yes;6 660
437934666;UKR-000270;Yes;33 300
437934809;UKR-000298;Yes;13 320
437934991;UKR-000298;Yes;6 660
437935451;;No;19 980
437935509;UKR-000298;Yes;19 980
437936037;UKR-000270;Yes;26 640
437936830;UKR-000270;Yes;13 320
437937039;UKR-000270;Yes;13 320
437937159;UKR-000298;Yes;19 980
437937452;UKR-000270;Yes;13 320
437938094;UKR-000270;Yes;6 660
437938271;UKR-000298;Yes;6 660
437938647;UKR-000298;Yes;6 660
437939027;UKR-000270;Yes;13 320
437940431;UKR-000298;Yes;6 660
437940707;UKR-000270;Yes;19 980
437941939;UKR-000270;Yes;33 300
437942994;UKR-000298;Yes;6 660
437946165;UKR-000298;Yes;6 660
437949908;UKR-000298;Yes;26 640
437952876;UKR-000298;Yes;33 300
437957863;;No;19 980
437958175;UKR-000298;Yes;19 980
437962022;UKR-000298;Yes;6 660
437965001;UKR-000298;Yes;6 660
437965013;UKR-000298;Yes;19 980
437965026;UKR-000298;Yes;6 660
437965040;;No;19 980
437965048;UKR-000298;Yes;26 640
437965054;UKR-000298;Yes;6 660
437965064;UKR-000298;Yes;13 320
437965078;UKR-000298;Yes;6 660
437965086;UKR-000298;Yes;6 660
437965100;UKR-000298;Yes;13 320
437965111;UKR-000298;Yes;6 660
437965118;UKR-000298;Yes;6 660
437965124;;No;6 660
437965127;UKR-000298;Yes;19 980
437965134;UKR-000298;Yes;6 660
437965139;UKR-000298;Yes;13 320
437965147;UKR-000298;Yes;13 320
437965153;;No;19 980
437965159;UKR-000298;Yes;19 980
437965166;UKR-000298;Yes;19 980
437965177;UKR-000298;Yes;13 320
437965185;UKR-000298;Yes;33 300
437965190;UKR-000298;Yes;13 320
437965201;UKR-000298;Yes;19 980
437965206;UKR-000298;Yes;13 320
437965213;UKR-000298;Yes;13 320
437965226;UKR-000298;Yes;26 640
437965232;UKR-000298;Yes;19 980
437965242;UKR-000298;Yes;13 320
437965249;UKR-000298;Yes;26 640
437965253;UKR-000298;Yes;33 300
437965263;UKR-000298;Yes;19 980
437968789;UKR-000298;Yes;6 660
437977747;UKR-000298;Yes;6 660
437979078;UKR-000298;Yes;6 660
437979555;UKR-000298;Yes;6 660
437979753;UKR-000298;Yes;6 660
437979992;UKR-000298;Yes;6 660
437980370;UKR-000298;Yes;13 320
437996731;UKR-000270;Yes;19 980
437998743;UKR-000270;Yes;6 660
438002928;UKR-000270;Yes;6 660
438006490;;No;6 660
438016067;UKR-000270;Yes;19 980
438018003;UKR-000270;Yes;6 660
438022726;;No;6 660
438026123;UKR-000270;Yes;6 660
438027692;UKR-000270;Yes;13 320
438147011;UKR-000270;Yes;19 980
438147014;UKR-000270;Yes;13 320
438147254;UKR-000270;Yes;13 320
438147718;UKR-000270;Yes;19 980
438147887;UKR-000270;Yes;13 320
438147910;UKR-000270;Yes;13 320
438147979;UKR-000270;Yes;13 320
438148605;UKR-000270;Yes;19 980
438149418;UKR-000270;Yes;19 980
438149421;UKR-000270;Yes;13 320
438149526;UKR-000270;Yes;19 980
438149804;UKR-000270;Yes;13 320
438149933;UKR-000298;Yes;6 660
438150302;UKR-000270;Yes;13 320
438150331;UKR-000270;Yes;13 320
